ingredient',pairings'
'achiote seeds',"['beef', ' chicken', ' chiles', ' citrus', ' fish', ' game birds', ' garlic', ' pork', ' shellfish', ' shrimp']"
'allspice',"['apples', ' baked goods', ' beans', ' beef', ' beets', ' breads', ' cabbage', ' cakes', ' carrots', ' chicken', ' chickpeas', ' chile peppers', ' cinnamon', ' cloves', ' cookies', ' coriander', ' currants', ' curries and curry powder', ' eggplant', ' fish', ' fruits, fruit compotes, and jams', ' game and game birds', ' garlic', ' ginger', ' goat', ' grains', ' ham', ' herring, pickled', ' ketchup', ' lamb', ' mace', ' meats, red', ' mushrooms', ' mustard', ' nutmeg', ' nuts', ' onions', ' pepper, black', ' pies', ' pineapple', ' pork', ' pumpkin', ' rabbit', ' rice', ' rosemary', ' salsas and sauces', ' sauerkraut', ' sausages', ' soups', ' spiced cakes', ' spinach', ' squash, winter', ' stews', ' stocks and broths, chicken', ' sweet potatoes', ' thyme', ' tomatoes', ' turnips', ' vegetables']"
'almonds',"['amaretto', ' anise', ' apples', ' apricots', ' beans', ' blackberries', ' brandy', ' butter, unsalted', ' butterscotch', ' caramel', ' cardamom', ' cayenne', ' cheese, goat', ' cheese, manchego', ' cheese, ricotta', ' cherries', ' chicken', ' chocolate, dark', ' chocolate, milk', ' chocolate, white', ' cinnamon', ' coconut', ' coffee', ' cornmeal', ' corn syrup', ' crab', ' cranberries', ' cream', ' cream cheese', ' crème fraîche', ' crust, pastry', ' crust, pie', ' currants', ' figs', ' fish', ' french pastries', ' fruits, most', ' garlic', ' grapes', ' greens, salad', ' hazelnuts', ' honey', ' ice cream', ' italian sauces', ' lamb', ' lavender', ' lemon, juice', ' lemon, zest', ' liqueurs, fruit (including orange)', ' mascarpone', ' mexican beverages and mole sauces', ' milk, sweetened condensed', ' molasses', ' nectarines', ' oats', ' olive oil', ' olives', ' orange, juice', ' orange, zest', ' paprika', ' passion fruit', ' peaches', ' pears', ' pecans', ' pepper, ground', ' pine nuts', ' plums', ' praline', ' prunes', ' quince', ' raisins', ' raspberries', ' rhubarb', ' rice', ' rosemary', ' rum', ' salt, kosher', ' salt, sea', ' shellfish', ' sherry', ' strawberries', ' sugar, brown', ' sugar, white', ' tea', ' vanilla', ' walnuts']"
'amaretto (sweet almond liqueur)',"['almonds', ' apricots', ' butter', ' cherries', ' chocolate', ' coffee', ' cream', ' hazelnuts', ' peaches', ' pork', ' sugar']"
'anchovies',"['almonds', ' basil', ' beans, green', ' bell peppers', ' capers', ' carrots', ' cauliflower', ' celery', ' cheese, manchego', ' cheese, mozzarella', ' cheese, parmesan', ' chives', ' eggs, hard-boiled', ' fennel', ' garlic', ' lemon, juice', ' lobster', ' mayonnaise', ' mustard', ' nectarines', ' olive oil', ' olives', ' onions', ' orange, zest', ' parsley, flat-leaf', ' pasta', ' pepper, black', ' pepper, white', ' peppers, piquillo', ' pizza', ' potatoes', ' puttanesca sauce', ' red pepper flakes', ' romaine lettuce', ' rosemary', ' salads', ' salmon', ' salt, kosher', ' salt, sea', ' shallots', ' sherry, px', ' tapenade', ' thyme', ' tomatoes', ' tuna', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, sherry']"
'angelica',"['almonds', ' anise', ' apricots', ' candy', ' cream and ice cream', ' custards', ' desserts', ' fish', ' fruits', ' ginger, fresh', ' ginger, candied', ' hazelnuts', ' juniper berries', ' lavender', ' lemon balm', ' liqueurs', ' mushrooms', ' nutmeg', ' oranges', ' pepper, black', ' plums', ' rhubarb', ' salads', ' shellfish', ' strawberries']"
'anise',"['allspice', ' almonds', ' apples', ' baked goods', ' beets', ' breads', ' cabbage', ' cakes', ' cardamom', ' carrots', ' cauliflower', ' cheese', ' chestnuts', ' cinnamon', ' cloves', ' coffee', ' cookies', ' crab', ' cream', ' cumin', ' dates', ' desserts', ' duck', ' fennel seeds', ' figs', ' fish', ' fruit', ' garlic', ' ginger', ' hazelnuts', ' lemon', ' lentils', ' mayonnaise', ' melon', ' mole sauce', ' mussels', ' nutmeg', ' nuts', ' orange', ' parsnips', ' peaches', ' pears', ' pepper', ' pickles', ' pineapple', ' plums', ' pork', ' prunes', ' pumpkin', ' quince', ' raisins', ' rhubarb', ' salumi', ' sauerkraut', ' shellfish', ' soups', ' star anise', ' stews', ' strawberries', ' sugar', ' sweet potatoes', ' tea', ' vanilla', ' vegetables, root', ' walnuts']"
'anise hyssop',"['apricots', ' basil', ' beans, green', ' beets', ' berries', ' beverages', ' carrots', ' cherries', ' chervil', ' chicken', ' cream and ice cream', ' currants', ' custards', ' desserts', ' fennel bulb', ' fish', ' fruits', ' honey', ' lavender', ' lemon', ' lychees', ' marjoram', ' melons', ' mint', ' nectarines', ' oranges', ' parsley', ' parsnips', ' peaches', ' pears', ' plums', ' pork', ' raspberries', ' rice', ' salads, fruit', ' salads, green', ' shellfish', ' shrimp', ' spinach', ' squash, winter', ' stone fruits', ' sweet potatoes', ' tarragon', ' teas', ' tomatoes', ' vegetables, root', ' watermelon', ' zucchini']"
"'anise, star'","['allspice', ' baked goods', ' beef', ' beverages', ' cardamom', ' chestnuts', ' chicken', ' chile peppers', ' chili powder', ' chocolate', ' cinnamon', ' citrus zest', ' cloves', ' coriander', ' cumin', ' curry powder', ' duck', ' eggs', ' fennel seeds', ' figs', ' fish', ' five-spice powder', ' fruits', ' garlic', ' ginger', ' kumquats', ' leeks', ' lemongrass', ' lime, zest', ' liqueurs', ' mace', ' mangoes', ' maple syrup', ' meats', ' nutmeg', ' orange, zest', ' oxtails', ' pears', ' pepper, black', ' pepper, szechuan', ' pineapple', ' plums', ' pork', ' poultry', ' pumpkin', ' raspberries', ' root vegetables', ' salmon', ' sauces', ' scallions', ' scallops', ' shellfish', ' shrimp', ' soups', ' soy sauce', ' stews', ' stocks, beef', ' stocks, chicken', ' sweet potatoes', ' tamarind', ' teas', ' tuna', ' turmeric', ' vanilla', ' vegetables', ' wine, rice']"
'apples',"['allspice', ' almonds', ' apple cider or juice', ' applejack', ' apricots, dried', ' apricots, jam', ' apricots, puree', ' armagnac', ' bacon', ' bay leaf', ' beef', ' blackberries', ' bourbon', ' brandy', ' brioche', ' butter, unsalted', ' butterscotch', ' cabbage, red', ' calvados', ' caramel', ' cardamom', ' celery', ' celery root', ' cheese, camembert', ' cheese, cheddar', ' cheese, goat', ' cheese, gruyère', ' cherries, dried', ' cherries, fresh', ' chestnuts', ' chicken', ' chives', ' cider', ' cinnamon', ' cloves', ' cognac', ' cointreau', ' coriander', ' cranberries', ' cream and ice cream', ' crème anglaise (sauce)', ' crème fraîche', ' crust, pastry', ' crust, pie', ' cumin', ' currants', ' curry powder', ' custards', ' dates', ' duck', ' eggplant', ' fennel', ' frisée', ' ginger', ' goose', ' hazelnuts', ' honey', ' horseradish', ' ice cream', ' kirsch', ' lavender', ' lemon, juice', ' lemon, zest', ' lemon thyme', ' lychees', ' madeira', ' maple syrup', ' mayonnaise', ' meringue', ' molasses', ' mustard', ' nutmeg', ' nuts', ' oatmeal and oats', ' oil, canola', ' oil, hazelnut', ' oil, walnut', ' olive oil', ' onions', ' orange, juice', ' orange, zest', ' parsley', ' peanuts and peanut butter', ' pears', ' pecans', ' pepper, black', ' pies', ' pineapple', ' pine nuts', ' pistachios', ' plums', ' pomegranates', ' pork', ' poultry', ' prunes', ' puff pastry', ' pumpkin', ' quince', ' raisins', ' rhubarb', ' rice and rice pudding', ' rosemary', ' rum, dark', ' rum, light', ' salads, fruit', ' salads, green', ' salt, kosher', ' sauerkraut', ' sherry', ' soups', ' sour cream', ' star anise', ' sugar, brown', ' sugar, white', ' sweet potatoes', ' tarragon', ' tarts', ' thyme', ' vanilla', ' verjus', ' vermouth', ' vinegar, apple cider', ' vinegar, raspberry', ' walnuts', ' wine, red', ' wine, dry white', ' yogurt']"
